AGAF	AFT		Afutara Airport	Afutara, Solomon Islands
KMDS	XMD	MDS	Madison Municipal Airport (FAA: MDS)	Madison, South Dakota, United States
KMDT	MDT	MDT	Harrisburg International Airport	Harrisburg, Pennsylvania, United States
KMDW	MDW	MDW	Midway International Airport	Chicago, Illinois, United States
KMDZ	MDF	MDZ	Taylor County Airport	Medford, Wisconsin, United States
KMEB	MXE	MEB	Laurinburg-Maxton Airport (FAA: MEB)	Maxton, North Carolina, United States
KMEI	MEI	MEI	Key Field	Meridian, Mississippi, United States
KMEM	MEM	MEM	Memphis International Airport	Memphis, Tennessee, United States
KMER	MER	MER	Castle Airport	Atwater, California, United States
KMEV	MEV	MEV	Minden-Tahoe Airport	Minden, Nevada, United States
KMFD	MFD	MFD	Mansfield Lahm Regional Airport	Mansfield, Ohio, United States
KMFE	MFE	MFE	McAllen-Miller International Airport	McAllen, Texas, United States
KMFI	MFI	MFI	Marshfield Municipal Airport	Marshfield, Wisconsin, United States
KMFR	MFR	MFR	Rogue Valley International-Medford Airport	Medford, Oregon, United States
KMFV	MFV	MFV	Accomack County Airport	Melfa, Virginia, United States
KMGC	MGC	MGC	Michigan City Municipal Airport	Michigan City, Indiana, United States
KMGE	MGE	MGE	Dobbins Air Reserve Base (NAS Atlanta)	Marietta, Georgia, United States
KMGJ	MGJ	MGJ	Orange County Airport	Montgomery, New York, United States
KMGM	MGM	MGM	Montgomery Regional Airport (Dannelly Field)	Montgomery, Alabama, United States
KMGR	MGR	MGR	Moultrie Municipal Airport	Moultrie, Georgia, United States
KMGW	MGW	MGW	Morgantown Municipal Airport (Walter L. Bill Hart Field)	Morgantown, West Virginia, United States
KMGY	MGY	MGY	Dayton-Wright Brothers Airport	Dayton, Ohio, United States
KMHE	MHE	MHE	Mitchell Municipal Airport	Mitchell, South Dakota, United States
KMHK	MHK	MHK	Manhattan Regional Airport	Manhattan, Kansas, United States
KMHL	MHL	MHL	Marshall Memorial Municipal Airport	Marshall, Missouri, United States
KMHN	MHN	MHN	Hooker County Airport	Mullen, Nebraska, United States
KMHR	MHR	MHR	Sacramento Mather Airport	Sacramento, California, United States
KMHT	MHT	MHT	Manchester-Boston Regional Airport	Manchester, New Hampshire, United States
KMHV	MHV	MHV	Mojave Airport	Mojave, California, United States
KMIA	MIA	MIA	Miami International Airport	Miami, Florida, United States
KMIB	MIB	MIB	Minot Air Force Base	Minot, North Dakota, United States
KMIC	MIC	MIC	Crystal Airport	Minneapolis, Minnesota, United States
KMIE	MIE	MIE	Delaware County Airport (Johnson Field)	Muncie, Indiana, United States
KMIO	MIO	MIO	Miami Municipal Airport	Miami, Oklahoma, United States
KMIT	MIT	MIT	Shafter Airport	Shafter, California, United States
KMIV	MIV	MIV	Millville Municipal Airport	Millville, New Jersey, United States
KMIW	MIW	MIW	Marshalltown Municipal Airport	Marshalltown, Iowa, United States
KMJQ	MJQ	MJQ	Jackson Municipal Airport	Jackson, Minnesota, United States
KMJX	MJX	MJX	Robert J. Miller Air Park	Toms River, New Jersey, United States
KMKC	MKC	MKC	Kansas City Downtown Airport (Charles B. Wheeler Downtown Airport)	Kansas City, Missouri, United States
KMKE	MKE	MKE	General Mitchell International Airport	Milwaukee, Wisconsin, United States
KMKG	MKG	MKG	Muskegon County Airport	Muskegon, Michigan, United States
KMKL	MKL	MKL	McKellar-Sipes Regional Airport	Jackson, Tennessee, United States
KMKO	MKO	MKO	Davis Field	Muskogee, Oklahoma, United States
KMKT	MKT	MKT	Mankato Regional Airport	Mankato, Minnesota, United States
KMKY	MRK	MKY	Marco Island Airport (FAA: MKY)	Marco Island, Florida, United States
KMLB	MLB	MLB	Melbourne International Airport	Melbourne, Florida, United States
KMLC	MLC	MLC	McAlester Regional Airport	McAlester, Oklahoma, United States
KMLD	MLD	MLD	Malad City Airport	Malad City, Idaho, United States
KMLE	MIQ	MLE	Millard Airport (FAA: MLE)	Omaha, Nebraska, United States
KMLF	MLF	MLF	Milford Municipal Airport (Ben and Judy Briscoe Field)	Milford, Utah, United States
KMLI	MLI	MLI	Quad City International Airport	Moline, Illinois, United States
KMLJ	MLJ	MLJ	Baldwin County Airport	Milledgeville, Georgia, United States
KMLS	MLS	MLS	Miles City Municipal Airport (Frank Wiley Field)	Miles City, Montana, United States
KMLT	MLT	MLT	Millinocket Municipal Airport	Millinocket, Maine, United States
KMLU	MLU	MLU	Monroe Regional Airport	Monroe, Louisiana, United States
KMMH	MMH	MMH	Mammoth Yosemite Airport	Mammoth Lakes, California, United States
KMMI	MMI	MMI	McMinn County Airport	Athens, Tennessee, United States
KMML	MML	MML	Southwest Minnesota Regional Airport (Marshall/Ryan Field)	Marshall, Minnesota, United States
KMMS	MMS	MMS	Selfs Airport	Marks, Mississippi, United States
KMMT	MMT	MMT	McEntire Air National Guard Station	Eastover, South Carolina, United States
KMMU	MMU	MMU	Morristown Municipal Airport	Morristown, New Jersey, United States
KMNM	MNM	MNM	Menominee-Marinette Twin County Airport	Menominee, Michigan, United States
KMNN	MNN	MNN	Marion Municipal Airport	Marion, Ohio, United States
KMOB	MOB	MOB	Mobile Regional Airport	Mobile, Alabama, United States
KMOD	MOD	MOD	Modesto City-County Airport (Harry Sham Field)	Modesto, California, United States
KMOP	MOP	MOP	Mount Pleasant Municipal Airport	Mount Pleasant, Michigan, United States
KMOR	MOR	MOR	Moore-Murrell Airport	Morristown, Tennessee, United States
KMOT	MOT	MOT	Minot International Airport	Minot, North Dakota, United States
KMOX	MOX	MOX	Morris Municipal Airport	Morris, Minnesota, United States
KMPJ	MPJ	MPJ	Petit Jean Park Airport	Morrilton, Arkansas, United States
KMPO	MPO	MPO	Pocono Mountains Municipal Airport	Mount Pocono, Pennsylvania, United States
KMPR	MPR	MPR	McPherson Airport	McPherson, Kansas, United States
KMPV	MPV	MPV	Edward F. Knapp State Airport	Barre/Montpelier, Vermont, United States
KMPZ	MPZ	MPZ	Mount Pleasant Municipal Airport	Mount Pleasant, Iowa, United States
KMQB	MQB	MQB	Macomb Municipal Airport	Macomb, Illinois, United States
KMQI	MEO	MQI	Dare County Regional Airport (FAA: MQI)	Manteo, North Carolina, United States
KMQS	CTH	MQS	Chester County G. O. Carlson Airport (FAA: MQS)	Coatesville, Pennsylvania, United States
KMQW	MQW	MQW	Telfair-Wheeler Airport	McRae, Georgia, United States
KMQY	MQY	MQY	Smyrna Airport	Smyrna, Tennessee, United States
KMRB	MRB	MRB	Eastern WV Regional Airport (Shepherd Field)	Martinsburg, West Virginia, United States
KMRC	MRC	MRC	Maury County Airport	Columbia/Mount Pleasant, Tennessee, United States
KMRF	MRF	MRF	Marfa Municipal Airport	Marfa, Texas, United States
KMRN	MRN	MRN	Foothills Regional Airport (was Morganton-Lenoir Airport)	Morganton, North Carolina, United States
KMRY	MRY	MRY	Monterey Regional Airport	Monterey, California, United States
KMSL	MSL	MSL	Northwest Alabama Regional Airport	Muscle Shoals, Alabama, United States
KMSN	MSN	MSN	Dane County Regional Airport (Truax Field)	Madison, Wisconsin, United States
KMSO	MSO	MSO	Missoula International Airport	Missoula, Montana, United States
KMSP	MSP	MSP	Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field)	Bloomington, Minnesota, United States
KMSS	MSS	MSS	Massena International Airport (Richards Field)	Massena, New York, United States
KMSV	MSV	MSV	Sullivan County International Airport	Monticello, New York, United States
KMSY	MSY	MSY	Louis Armstrong New Orleans International Airport (formerly Moisant Field)	New Orleans, Louisiana, United States
KMTC	MTC	MTC	Selfridge Air National Guard Base	Mount Clemens, Michigan, United States
KMTH	MTH	MTH	Florida Keys Marathon Airport	Marathon, Florida, United States
KMTJ	MTJ	MTJ	Montrose Regional Airport	Montrose, Colorado, United States
KMTN	MTN	MTN	Martin State Airport	Baltimore, Maryland, United States
KMTO	MTO	MTO	Coles County Memorial Airport	Mattoon/Charleston, Illinois, United States
KMTP	MTP	MTP	Montauk Airport	Montauk, New York, United States
KMTW	MTW	MTW	Manitowoc County Airport	Manitowoc, Wisconsin, United States
KMUI	MUI	MUI	Muir Army Airfield	Fort Indiantown Gap, Pennsylvania, United States
KMUL	MUL	MUL	Spence Airport	Moultrie, Georgia, United States
KMUO	MUO	MUO	Mountain Home Air Force Base	Mountain Home, Idaho, United States
KMUT	MUT	MUT	Muscatine Municipal Airport	Muscatine, Iowa, United States
KMVC	MVC	MVC	Monroe County Airport	Monroeville, Alabama, United States
KMVE	MVE	MVE	Montevideo-Chippewa County Airport	Montevideo, Minnesota, United States
KMVL	MVL	MVL	Morrisville-Stowe State Airport	Morrisville, Vermont, United States
KMVN	MVN	MVN	Mount Vernon Airport	Mount Vernon, Illinois, United States
KMVY	MVY	MVY	Martha's Vineyard Airport	Vineyard Haven, Massachusetts, United States
KMWA	MWA	MWA	Williamson County Regional Airport	Marion, Illinois, United States
KMWC	MWC	MWC	Lawrence J. Timmerman Airport	Milwaukee, Wisconsin, United States
KMWH	MWH	MWH	Grant County International Airport	Moses Lake, Washington, United States
KMWL	MWL	MWL	Mineral Wells Airport	Mineral Wells, Texas, United States
KMWM	MWM	MWM	Windom Municipal Airport	Windom, Minnesota, United States
KMWO	MWO	MWO	Hook Field Municipal Airport	Middletown, Ohio, United States
KMXA	MXA	MXA	Manila Municipal Airport	Manila, Arkansas, United States
KMXF	MXF	MXF	Maxwell Air Force Base	Montgomery, Alabama, United States
KMXO	MXO	MXO	Monticello Regional Airport	Monticello, Iowa, United States
KMYF	MYF	MYF	Montgomery Field	San Diego, California, United States
KMYL	MYL	MYL	McCall Municipal Airport	McCall, Idaho, United States
KMYR	MYR	MYR	Myrtle Beach International Airport	Myrtle Beach, South Carolina, United States
KMYV	MYV	MYV	Yuba County Airport	Marysville, California, United States
KMZJ	MZJ	MZJ	Pinal Airpark	Marana, Arizona, United States
KMZZ	MZZ	MZZ	Marion Municipal Airport	Marion, Indiana, United States
KNBG	NBG	NBG	NAS JRB New Orleans (Alvin Callender Field)	New Orleans, Louisiana, United States
KNBJ	NHX	NBJ	NOLF Barin (FAA: NBJ)	Foley, Alabama, United States
MUGM	NBW		NAS Guantanamo Bay	Guantanamo Bay, Cuba
KNDY	DGN	NDY	Dahlgren Naval Surface Warfare Center (FAA: NDY)	Dahlgren, Virginia, United States
KNEL	NEL	NEL	NAES Lakehurst (Maxfield Field)	Lakehurst, New Jersey, United States
KNEN	NEN	NEN	NOLF Whitehouse	Jacksonville, Florida, United States
KNEW	NEW	NEW	New Orleans Lakefront Airport	New Orleans, Louisiana, United States
KNFL	NFL	NFL	NAS Fallon (Van Voorhis Field)	Fallon, Nevada, United States
KNFW	FWH	NFW	NAS JRB Fort Worth / Carswell Field (FAA: NFW)	Fort Worth, Texas, United States
KNGP	NGP	NGP	NAS Corpus Christi (Truax Field)	Corpus Christi, Texas, United States
KNGU	NGU	NGU	NS Norfolk (Chambers Field)	Norfolk, Virginia, United States
KNGW	NGW	NGW	NOLF Cabaniss	Corpus Christi, Texas, United States
KNHK	NHK	NHK	NAS Patuxent River (Trapnell Field)	Patuxent River, Maryland, United States
KNHZ	NHZ	NHZ	NAS Brunswick	Brunswick, Maine, United States
KNIP	NIP	NIP	NAS Jacksonville (Towers Field)	Jacksonville, Florida, United States
KNJK	NJK	NJK	NAF El Centro	El Centro, California, United States
KNKT	NKT	NKT	MCAS Cherry Point (Cunningham Field)	Cherry Point, North Carolina, United States
KNKX	NKX	NKX	MCAS Miramar	San Diego, California, United States
KNLC	NLC	NLC	NAS Lemoore (Reeves Field)	Lemoore, California, United States
KNOW	NOW	NOW	CGAS Port Angeles	Port Angeles, Washington, United States
KNPA	NPA	NPA	NAS Pensacola (Forrest Sherman Field)	Pensacola, Florida, United States
KNQA	NQA	NQA	Millington Regional Jetport	Millington, Tennessee, United States
KNQI	NQI	NQI	NAS Kingsville	Kingsville, Texas, United States
KNQX	NQX	NQX	NAS Key West (Boca Chica Field)	Boca Chica Key, Florida, United States
KNRB	NRB	NRB	NS Mayport (Adm. David L. McDonald Field)	Mayport, Florida, United States
KNRC	NRC	NRC	NASA Crows Landing Airport (formerly NALF Crows Landing)	Crows Landing, California, United States
KNRS	NRS	NRS	NOLF Imperial Beach (Ream Field)	Imperial Beach, California, United States
KNSE	NSE	NSE	NAS Whiting Field - North	Milton, Florida, United States
KNTD	NTD	NTD	NAS Point Mugu (Naval Base Ventura County)	Point Mugu, California, United States
KNTU	NTU	NTU	NAS Oceana (Apollo Soucek Field)	Virginia Beach, Virginia, United States
KNUN	NUN	NUN	NOLF Saufley	Pensacola, Florida, United States
KNUQ	NUQ	NUQ	Moffett Federal Airfield	Mountain View, California, United States
KNUW	NUW	NUW	NAS Whidbey Island (Ault Field)	Oak Harbor, Washington, United States
KNVD	NVD	NVD	Nevada Municipal Airport	Nevada, Missouri, United States
KNXX	NXX	NXX	NAS JRB Willow Grove	Willow Grove, Pennsylvania, United States
KNYG	NYG	NYG	MCAF Quantico (Turner Field)	Quantico, Virginia, United States
KNYL	YUM	NYL	Yuma International Airport / MCAS Yuma (FAA: NYL)	Yuma, Arizona, United States
KNZJ	NZJ	NZJ	MCAS El Toro	Santa Ana, California, United States
KNZY	NZY	NZY	NAS North Island (Halsey Field)	San Diego, California, United States
KOAJ	OAJ	OAJ	Albert J. Ellis Airport	Jacksonville, North Carolina, United States
KOAK	OAK	OAK	Oakland International Airport	Oakland (near San Francisco), California, United States
KOBE	OBE	OBE	Okeechobee County Airport	Okeechobee, Florida, United States
KOCF	OCF	OCF	Ocala International Airport (Jim Taylor Field)	Ocala, Florida, United States
KOCH	OCH	OCH	A. L. Mangham Jr. Regional Airport	Nacogdoches, Texas, United States
KOCW	OCW	OCW	Warren Field	Washington, North Carolina, United States
KOEA	OEA	OEA	O'Neal Airport	Vincennes, Indiana, United States
KOEO	OEO	OEO	L. O. Simenstad Municipal Airport	Osceola, Wisconsin, United States
KOFF	OFF	OFF	Offutt Air Force Base	Omaha, Nebraska, United States
KOFK	OFK	OFK	Karl Stefan Memorial Airport	Norfolk, Nebraska, United States
KOGA	OGA	OGA	Searle Field	Ogallala, Nebraska, United States
KOGB	OGB	OGB	Orangeburg Municipal Airport	Orangeburg, South Carolina, United States
KOGD	OGD	OGD	Ogden-Hinckley Airport	Ogden, Utah, United States
KOGS	OGS	OGS	Ogdensburg International Airport	Ogdensburg, New York, United States
KOIC	OIC	OIC	Norwich Lt. Warren Eaton Airport	Norwich, New York, United States
KOJC	OJC	OJC	Johnson County Executive Airport	Olathe, Kansas, United States
KOKB	OCN	OKB	Oceanside Municipal Airport (FAA: OKB)	Oceanside, California, United States
KOKC	OKC	OKC	Will Rogers World Airport	Oklahoma City, Oklahoma, United States
KOKH	ODW	OKH	A.J. Eisenberg Airport (FAA: OKH)	Oak Harbor, Washington, United States
KOKK	OKK	OKK	Kokomo Municipal Airport	Kokomo, Indiana, United States
KOKM	OKM	OKM	Okmulgee Regional Airport	Okmulgee, Oklahoma, United States
KOKS	OKS	OKS	Garden County Airport	Oshkosh, Nebraska, United States
KOKV	WGO	OKV	Winchester Regional Airport (FAA: OKV)	Winchester, Virginia, United States
KOLD	OLD	OLD	Old Town Municipal Airport and Seaplane Base (DeWitt Field)	Old Town, Maine, United States
KOLE	OLE	OLE	Cattaraugus County-Olean Airport	Olean, New York, United States
KOLF	OLF	OLF	L. M. Clayton Airport	Wolf Point, Montana, United States
KOLM	OLM	OLM	Olympia Airport	Olympia, Washington, United States
KOLS	OLS	OLS	Nogales International Airport	Nogales, Arizona, United States
KOLU	OLU	OLU	Columbus Municipal Airport (Nebraska)	Columbus, Nebraska, United States
KOLV	OLV	OLV	Olive Branch Airport	Olive Branch, Mississippi, United States
KOLY	OLY	OLY	Olney-Noble Airport	Olney-Noble, Illinois, United States
KOMA	OMA	OMA	Eppley Airfield	Omaha, Nebraska, United States
KOMK	OMK	OMK	Omak Airport	Omak, Washington, United States
KONA	ONA	ONA	Winona Municipal Airport (Max Conrad Field)	Winona, Minnesota, United States
KONL	ONL	ONL	O'Neill Municipal Airport (John L. Baker Field)	O'Neill, Nebraska, United States
KONM	ONM	ONM	Socorro Municipal Airport	Socorro, New Mexico, United States
KONO	ONO	ONO	Ontario Municipal Airport	Ontario, Oregon, United States
KONP	ONP	ONP	Newport Municipal Airport	Newport, Oregon, United States
KONT	ONT	ONT	Ontario International Airport	Ontario (near Los Angeles), California, United States
KONY	ONY	ONY	Olney Municipal Airport	Olney, Texas, United States
KOOA	OOA	OOA	Oskaloosa Municipal Airport	Oskaloosa, Iowa, United States
KOPF	OPF	OPF	Opa-locka Airport	Miami, Florida, United States
KOPL	OPL	OPL	St. Landry Parish Airport (Ahart Field)	Opelousas, Louisiana, United States
KOQN	OQN	OQN	Brandywine Airport	West Chester, Pennsylvania, United States
KORC		ORC	Orange City Municipal Airport	Orange City, Iowa, United States
KORD	ORD	ORD	O'Hare International Airport (formerly Orchard Depot Field)	Chicago, Illinois, United States
KORF	ORF	ORF	Norfolk International Airport	Norfolk, Virginia (near Virginia Beach and Williamsburg), United States
KORH	ORH	ORH	Worcester Regional Airport	Worcester, Massachusetts, United States
KORI	ORI	ORI	Port Lions Airport	Port Lions, Alaska, United States
KORL	ORL	ORL	Orlando Executive Airport	Orlando, Florida, United States
KORS	ESD	ORS	Orcas Island Airport (FAA: ORS)	Eastsound, Washington, United States
KOSC	OSC	OSC	Oscoda-Wurtsmith Airport	Oscoda, Michigan, United States
KOSH	OSH	OSH	Wittman Regional Airport	Oshkosh, Wisconsin, United States
KOSU	OSU	OSU	Ohio State University Airport	Columbus, Ohio, United States
KOSX	OSX	OSX	Kosciusko-Attala County Airport	Kosciusko, Mississippi, United States
KOTG	OTG	OTG	Worthington Municipal Airport	Worthington, Minnesota, United States
KOTH	OTH	OTH	North Bend Municipal Airport	North Bend, Oregon, United States
KOTM	OTM	OTM	Ottumwa Industrial Airport	Ottumwa, Iowa, United States
KOUN	OUN	OUN	University of Oklahoma Westheimer Airport	Norman, Oklahoma, United States
KOVE	OVE	OVE	Oroville Municipal Airport	Oroville, California, United States
KOVL		OVL	Olivia Regional Airport	Olivia, Minnesota, United States
KOWA	OWA	OWA	Owatonna Degner Regional Airport	Owatonna, Minnesota, United States
KOWB	OWB	OWB	Owensboro-Daviess County Airport	Owensboro, Kentucky, United States
KOWD	OWD	OWD	Norwood Memorial Airport	Norwood, Massachusetts, United States
KOWK	OWK	OWK	Central Maine Airport of Norridgewock	Norridgewock, Maine, United States
KOXB	OCE	OXB	Ocean City Municipal Airport (FAA: OXB)	Ocean City, Maryland, United States
KOXC	OXC	OXC	Waterbury-Oxford Airport	Oxford, Connecticut, United States
KOXD	OXD	OXD	Miami University Airport	Oxford, Ohio, United States
KOXR	OXR	OXR	Oxnard Airport	Oxnard, California, United States
KOYM	STQ	OYM	St. Marys Municipal Airport (FAA: OYM)	St. Marys, Pennsylvania, United States
KOZA	OZA	OZA	Ozona Municipal Airport	Ozona, Texas, United States
KOZR	OZR	OZR	Cairns Army Airfield (Fort Rucker)	Fort Rucker/Ozark, Alabama, United States
KPAE	PAE	PAE	Snohomish County Airport (Paine Field)	Everett, Washington, United States
